objectid,filename,youtubeid,vimeoid,dpla link,title,creator,date,description,subject,location,latitude,longitude,source,dpla_record,identifier,type,file size,format,file_size,image_dimensions,language,rights,rightsstatement
coll001,Grand_Canyon_National_Park_Canyon_Wren_1.mp4,,,https://dp.la/item/cf02c365d7f35b7257c2b360933cf7ce?q=Grand+Canyon&type=%22sound%22&page=1,Grand Canyon National Park - National Park Service audio recording - Canyon Wren 1,National Park Service,2006-08-06,"Audio tracks of animal sounds - Canyon Wren at Grand Canyon National Park. Canyon Wrens are some of the most commonly seen birds in the Grand Canyon. Their most common call is a series of notes that follow a pattern of ""tee-tee-tee-tee-tew-tew-tew-tew"" as they descend in pitch.",Canyon Wren;Catherpes Mexicanus; Birds;Nature Sounds;Grand Canyon ,Grand Canyon National Park; Arizona; United States,36.3042826,-112.7906529,"NatureServe; J. Willard Marriott Library, University of Utah, Salt Lake City, Utah 84112",https://dp.la/item/cf02c365d7f35b7257c2b360933cf7ce?q=Grand+Canyon&type=%22sound%22&page=1,1118642,Sound,,video/.mp4,"126,293 bytes",,eng,Attribution-NonCommercial-NoDerivs 3.0 United States,https://creativecommons.org/licenses/by-nc-nd/3.0/us/
coll002,Grand_Canyon_Map.jpg,,,https://dp.la/item/dcdced1fa36b7bf09f0ccde0e140c39b?q=Grand+Canyon&type=%22image%22&page=1,Grand Canyon Nationa Park - Map,"Wegener, Bruce H.",1905-05-25,Map of Grand Cayon National Park. Relief shown by shading and spot heights; shows location of rapids on the Colorado River and hiking trails.,Maps;Colorado River;Hiking Trails;Grand Canyon,Grand Canyon National Park; Arizona,36.3042826,-112.7906529,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",https://dp.la/item/dcdced1fa36b7bf09f0ccde0e140c39b?q=Grand+Canyon&type=%22image%22&page=1,agsmap028319,Image; map; cartographic image,,image/jpeg,"6,517,536 bytes",9000x6075,eng,The Board of Regents of the University of Wisconsin System,https://www.wisconsin.edu/regents/policies/
coll003,Grand_Canyon_National_Park_Coyotes_1.mp4,,,https://dp.la/item/515825432d3d6a1046740fc44a2e2889?q=Grand+Canyon&type=%22sound%22&page=1,Grand Canyon Nationa Park - National Park Service audio recording - Coyotes 1,National Park Service,2005-05-21,Audio tracks of animal sounds - coyotes at Grand Canyon National Park. The coyote (Canis latrans) are some of the most adaptable animals in North America and are commonly seen in Grand Canyon National Park.,Coyote;Mammals;Nature Sounds;Grand Canyon ,Grand Canyon National Park; Arizona,36.3042826,-112.7906529,"NatureServe; J. Willard Marriott Library, University of Utah, Salt Lake City, Utah 84112",https://dp.la/item/515825432d3d6a1046740fc44a2e2889?q=Grand+Canyon&type=%22sound%22&page=1,1118638,Sound,,video/.mp4,"931,008 bytes",,eng,Attribution-NonCommercial-NoDerivs 3.0 United States,https://creativecommons.org/licenses/by-nc-nd/3.0/us/
coll004,grand_canyon_postcard.jpg,,,https://dp.la/item/be82409c8b0e12cf956daaf0d140d99d?q=Grand+Canyon,Grand Canyon National Park - Postcard,Unknown,1905-03-14,"Postcard of Grand Canyon National Park. Grand Canyon National Park, in Northern Arizona, encompasses 278 miles of the Colorado River and adjacent uplands, it is located on the ancestral homeland of eleven associated Native American Tribes.",Postcards;Canyons;Grand Canyon;Colorado River,Grand Canyon National Park; Arizona,36.3042826,-112.7906529,"Postcard Collection, The New York Public Library Digital Collections",https://dp.la/item/be82409c8b0e12cf956daaf0d140d99d?q=Grand+Canyon,MFY 95-29,Image;StillImage,,image/jpeg,"83,364 bytes",760x494,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,Grand_Canyon_Havasu_Canyon.jpg,,,https://dp.la/item/fdc76b9938c40bfa15c4f262d5e7850d?q=Grand+Canyon,Grand Canyon National Park - Havasu Canyon,Unknown,1950-1979,"Scene in Havasu Canyon, a major tributary of the Colorado River in the Grand Canyon, during a Hatch River Expeditions trip in the 1950s, 1960s, or 1970s.",Canyons;Havasu Canyon;Colorado River;Hatch River Expedition;Grand Canyon,Havasu Canyon; Grand Canyon National Park; Arizona,36.30833,-112.76135,Slides,https://dp.la/item/fdc76b9938c40bfa15c4f262d5e7850d?q=Grand+Canyon,p0781n1_12_25,Image;StillImage,,image/jpeg,"118,406 bytes",625x619,eng,Copyright Not Evaluated,https://rightsstatements.org/page/CNE/1.0/?language=en
coll006,sanxavier_facade.jpg,,,https://dp.la/item/ec085371ae926e1b2234339e370ea1a6?q=San+Xavier+del+Bac&page=1,San Xavier del Bac Mission - Facade,Unknown,1783-1797,"San Xavier del Bac Mission facade in Tucson, Arizona. San Xavier Mission was founded as a Catholic mission by Father Eusebio Kino in 1692. Construction of the current church began in 1783 and was completed in 1797. ","Churches;Missions;Spanish Exploration;Mission San Xavier del Bac;Father Kino;Tucson,Arizona","Tucson, Arizona; United States",32.10778171,-111.0085225,Hagrett Library (University of Georgia),https://dp.la/item/ec085371ae926e1b2234339e370ea1a6?q=San+Xavier+del+Bac&page=1,,Image;StillImage,,image/jpeg,"102,101 bytes",1000x687,eng,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll007,sanxavier_interior.jpg,,,https://dp.la/item/4373aaf0d791ebd47e419ca28dd57944?q=San+Xavier+del+Bac&page=1,San Xavier del Bac Mission - Interior,Unknown,1783-1797,"San Xavier del Bac Misison interior in Tucson, Arizona. San Xavier Mission architecture is European, visitors are often struck by the coolness of the interior and the dazzling colors of the paintings, carvings, frescoes, and statues.","Churches;Missions;Mission San Xavier del Bac;Architecture;Tucson,Arizona","Tucson, Arizona",32.10778171,-111.0085225,Hagrett Library (University of Georgia),https://dp.la/item/4373aaf0d791ebd47e419ca28dd57944?q=San+Xavier+del+Bac&page=1,,Image;StillImage,,image/jpeg,"262,101 bytes",1000x1229,eng,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll008,sanxavier_generalview.jpg,,,https://dp.la/item/e591b675bcb628983231d7d74e86e4d7?q=san+xavier+del+bac+mission&page=2,San Xavier del Bac Mission - General View,Unknown,1783-1797,"San Xavier del Bac Misison general view in Tucson, Arizona. San Xavier Mission is located 10 miles south of downtown Tucson, Arizona, on the Tohono O'odham Nation San Xavier Indian Reservation.","Churches;Missions;Mission San Xavier del Bac;Father Kino;Tohono O'odham;Tucson, Arizona","Tucson, Arizona",32.10778171,-111.0085225,"Art, Architecture and Engineering Libary (University of Michigan Library)",https://dp.la/item/e591b675bcb628983231d7d74e86e4d7?q=san+xavier+del+bac+mission&page=2,LS008937,Image;StillImage,,image/jpeg,"66,245 bytes",859x320,eng,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be protected by copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the Art, Architecture and Engineering Library. If you have concerns about the inclusion of an item in this collection, please contact Library Information Technology.",
coll009,sanxavier_rearview.jpg,,,https://dp.la/item/6369d8706b129872dbca1bb220eebbf5?q=san+xavier+del+bac+mission&page=2,San Xavier del Bac Mission - Rear View,Unknown,1783-1797,"San Xavier del Bac Mission rear view in Tucson, Arizona. The current mission building was constructed under the direction of Franciscan fathers Juan Bautista Velderrain and Juan Bautista Llorenz between 1783 and 1797.",Churches;Missions;Mission San Xavier del Bac;Juan Bautista Velderrain;Juan Bautista Llorenz ,"Tucson, Arizona",32.10778171,-111.0085225,"Art, Architecture and Engineering Libary (University of Michigan Library)",https://dp.la/item/6369d8706b129872dbca1bb220eebbf5?q=san+xavier+del+bac+mission&page=2,LS008939,Image;StillImage,,image/jpeg,"127,804 bytes",857x640,eng,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be protected by copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the Art, Architecture and Engineering Library. If you have concerns about the inclusion of an item in this collection, please contact Library Information Technology.",
coll010,sanxavier_southeast.jpg,,,https://dp.la/item/8b07a19878ce6c88af3c19803a4e6b01?q=san+xavier+del+bac+mission&page=3,San Xavier del Bac Mission - Southeast View,"Thresher, G.P. (George P.)",1898-1910,"San Xavier del Bac Mission southeast view in Tucson, Arizona. This is from a collection of glass plate and film negatives by amateur photographer and Los Angeles real estate broker George P. Thresher (1854-1927) focusing on the American Southwest and Native Americans of the region, particularly of Arizona, and the Gila River crossing area, from ca. 1898 to 1910.","Churches;Missions;Mission San Xavier del Bac;Father Kino; Tohono O'odham;Tucson, Arizona","Tucson, Arizona",32.10778171,-111.0085225,"The Huntington Library, Art Museum, and Botanical Gardens",https://dp.la/item/8b07a19878ce6c88af3c19803a4e6b01?q=san+xavier+del+bac+mission&page=3,420288,Image;StillImage,,image/jpeg,"23,997 bytes",499x383,eng,"For information on use of Digital Library materials, please see Library Rights and Permissions: https://www.huntington.org/library-rights-permissions",https://www.huntington.org/library-rights-permissions
